PID,College,Level,lab01,lab01 - Max Points,lab01 - Lateness (H:M:S),lab02,lab02 - Max Points,lab02 - Lateness (H:M:S),project01,project01 - Max Points,project01 - Lateness (H:M:S),lab03,lab03 - Max Points,lab03 - Lateness (H:M:S),project01_free_response,project01_free_response - Max Points,project01_free_response - Lateness (H:M:S),lab04,lab04 - Max Points,lab04 - Lateness (H:M:S),lab05,lab05 - Max Points,lab05 - Lateness (H:M:S),project02_checkpoint01,project02_checkpoint01 - Max Points,project02_checkpoint01 - Lateness (H:M:S),Midterm,Midterm - Max Points,Midterm - Lateness (H:M:S),lab06,lab06 - Max Points,lab06 - Lateness (H:M:S),project02_checkpoint02,project02_checkpoint02 - Max Points,project02_checkpoint02 - Lateness (H:M:S),lab07,lab07 - Max Points,lab07 - Lateness (H:M:S),project02,project02 - Max Points,project02 - Lateness (H:M:S),project02_free_response,project02_free_response - Max Points,project02_free_response - Lateness (H:M:S),lab08,lab08 - Max Points,lab08 - Lateness (H:M:S),lab09,lab09 - Max Points,lab09 - Lateness (H:M:S),project03_checkpoint01,project03_checkpoint01 - Max Points,project03_checkpoint01 - Lateness (H:M:S),project03,project03 - Max Points,project03 - Lateness (H:M:S),Final,Final - Max Points,Final - Lateness (H:M:S),Total Lateness (H:M:S),project05_free_response,project05_free_response - Max Points,project05_free_response - Lateness (H:M:S),project04,project04 - Max Points,project04 - Lateness (H:M:S),project05,project05 - Max Points,project05 - Lateness (H:M:S),discussion01,discussion01 - Max Points,discussion01 - Lateness (H:M:S),discussion02,discussion02 - Max Points,discussion02 - Lateness (H:M:S),discussion03,discussion03 - Max Points,discussion03 - Lateness (H:M:S),discussion04,discussion04 - Max Points,discussion04 - Lateness (H:M:S),discussion05,discussion05 - Max Points,discussion05 - Lateness (H:M:S),discussion06,discussion06 - Max Points,discussion06 - Lateness (H:M:S),discussion07,discussion07 - Max Points,discussion07 - Lateness (H:M:S),discussion08,discussion08 - Max Points,discussion08 - Lateness (H:M:S),discussion09,discussion09 - Max Points,discussion09 - Lateness (H:M:S),discussion10,discussion10 - Max Points,discussion10 - Lateness (H:M:S)
A14368776,RE,JR,79,100,0:00:00,93,100,0:00:00,62,85,0:00:00,92,100,0:00:00,14,15,0:00:00,84,100,44:40:07,66,70,0:00:00,7,10,0:00:00,41,47,0:00:00,44,85,0:00:00,5,10,0:00:00,92,100,0:00:00,75,75,0:00:00,25,25,0:00:00,85,100,0:00:00,37,50,0:00:00,0,10,0:00:00,92,100,0:00:00,76,87,0:00:00,373:14:01,17,25,0:00:00,52,75,0:00:00,58,75,0:00:00,8,10,0:00:00,8,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,8,10,0:00:00,9,10,0:00:00,9,10,0:00:00
A14224543,RE,JR,51,100,0:00:38,79,100,0:00:00,85,85,0:00:00,92,100,0:00:00,15,15,0:00:00,68,100,0:00:00,59,70,0:00:00,10,10,0:00:00,27,47,0:00:00,66,85,0:00:00,10,10,0:00:00,99,100,0:00:00,55,75,0:00:00,18,25,0:00:00,88,100,0:00:00,50,50,0:00:00,5,10,0:00:00,86,100,0:00:00,72,87,0:00:00,0:00:38,25,25,0:00:00,75,75,0:00:38,75,75,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00
A14330717,SI,JR,96,100,0:00:00,100,100,0:00:00,75,85,0:00:00,90,100,0:00:00,11,15,0:00:00,89,100,24:38:32,70,70,0:00:00,10,10,0:00:00,37,47,0:00:00,85,85,0:00:00,6,10,0:00:00,93,100,0:00:00,75,75,0:00:00,21,25,0:00:00,98,100,405:37:42,45,50,0:00:00,0,10,0:00:00,100,100,0:00:00,75,87,0:00:00,430:16:14,20,25,0:00:00,71,75,0:00:00,75,75,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,9,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00
A14883274,SI,JR,91,100,0:00:00,61,100,0:00:00,48,85,0:00:00,83,100,0:00:00,0,15,0:00:00,94,100,0:00:00,70,70,0:00:00,10,10,0:00:00,43,47,0:00:00,63,85,645:24:50,9,10,0:00:00,93,100,0:00:00,67,75,0:00:00,25,25,0:00:00,96,100,0:00:00,45,50,0:00:00,0,10,0:00:00,84,100,0:00:00,61,87,0:00:00,669:12:21,14,25,0:00:00,47,75,0:00:00,53,75,0:00:00,7,10,0:00:00,7,10,0:00:00,7,10,0:00:00,7,10,0:00:00,7,10,0:00:00,7,10,0:00:00,7,10,0:00:00,7,10,0:00:00,7,10,0:00:00,7,10,0:00:00
A14161753,MU,SR,96,100,0:00:00,84,100,0:00:00,72,85,0:00:00,94,100,0:00:00,15,15,0:00:00,92,100,0:00:00,70,70,0:00:00,0,10,0:00:00,47,47,0:00:00,67,85,0:00:00,2,10,0:00:00,85,100,0:00:00,59,75,0:00:00,25,25,0:00:00,85,100,0:00:00,48,50,0:00:00,4,10,0:00:00,93,100,0:00:00,71,87,0:00:00,0:00:00,19,25,0:00:00,66,75,0:00:00,72,75,0:00:00,10,10,0:00:00,9,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,9,10,0:00:00,9,10,0:00:00,10,10,0:00:00,10,10,0:00:00,9,10,0:00:00
A14322486,RE,SR,100,100,0:00:00,78,100,0:00:00,62,85,0:00:00,70,100,0:00:00,15,15,0:00:00,85,100,46:48:38,57,70,0:00:00,1,10,0:00:00,41,47,0:00:00,69,85,0:00:00,10,10,0:00:00,94,100,0:00:00,67,75,0:00:00,25,25,0:00:00,,100,0:00:00,46,50,0:00:00,0,10,0:00:00,79,100,0:00:00,69,87,0:00:00,46:51:36,17,25,46:51:36,57,75,0:00:00,63,75,0:00:00,9,10,0:00:00,9,10,0:00:00,8,10,0:00:00,8,10,0:00:00,9,10,46:48:38,8,10,0:00:00,8,10,0:00:00,8,10,0:00:00,9,10,46:51:36,9,10,46:51:36
A14865587,RE,JR,99,100,0:00:00,74,100,0:00:00,76,85,0:00:00,77,100,0:00:00,15,15,0:00:00,100,100,47:13:39,41,70,0:00:00,,10,0:00:00,38,47,0:00:00,44,85,0:00:00,,10,0:00:00,93,100,0:00:00,65,75,0:00:00,25,25,0:00:00,34,100,0:00:00,44,50,0:00:00,0,10,0:00:00,86,100,0:00:00,82,87,0:00:00,47:13:39,21,25,0:00:00,69,75,0:00:00,75,75,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,9,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00
A14313679,SI,SR,81,100,0:00:00,96,100,0:00:00,68,85,0:00:00,82,100,268:26:07,15,15,0:00:00,82,100,0:00:00,69,70,0:00:00,10,10,0:00:00,45,47,0:00:00,76,85,0:00:00,10,10,0:00:00,79,100,434:14:10,73,75,0:00:00,25,25,0:00:00,90,100,0:00:00,37,50,0:00:00,0,10,0:00:00,94,100,0:00:00,69,87,0:00:00,702:40:17,20,25,0:00:00,64,75,0:00:00,70,75,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,10,10,0:00:00,9,10,0:00:00,9,10,0:00:00
A14770853,RE,SR,80,100,0:00:00,,100,0:00:00,71,85,0:00:00,54,100,0:00:00,15,15,0:00:00,19,100,42:18:27,37,70,0:00:00,,10,0:00:00,33,47,0:00:00,47,85,0:00:00,,10,0:00:00,97,100,416:19:19,62,75,0:00:00,18,25,0:00:00,56,100,0:00:00,27,50,0:00:00,,10,0:00:00,77,100,0:00:00,63,87,0:00:00,458:37:46,21,25,0:00:00,62,75,0:00:00,68,75,42:18:27,10,10,0:00:00,9,10,42:18:27,10,10,416:19:19,9,10,0:00:00,9,10,0:00:00,10,10,0:00:00,10,10,0:00:00,9,10,0:00:00,9,10,0:00:00,10,10,0:00:00
A14073781,TH,SR,74,100,0:00:00,79,100,0:00:00,50,85,0:00:00,76,100,0:00:00,6,15,0:00:00,92,100,47:57:16,53,70,0:00:00,10,10,588:07:50,35,47,0:00:00,60,85,0:00:00,,10,0:00:00,66,100,355:33:14,58,75,0:00:00,25,25,0:00:00,30,100,0:00:00,50,50,0:00:00,0,10,0:00:00,82,100,0:00:00,83,87,0:00:00,1333:25:14,14,25,0:00:00,48,75,0:00:00,54,75,0:00:00,7,10,1333:25:14,8,10,0:00:00,7,10,0:00:00,8,10,0:00:00,7,10,0:00:00,6,10,355:33:14,7,10,0:00:00,7,10,0:00:00,7,10,0:00:00,7,10,0:00:00
A14313679,RE,SR,88,100,0:00:00,89,100,0:00:00,62,85,0:00:00,84,100,268:26:07,12,15,0:00:00,100,100,0:00:00,60,70,0:00:00,10,10,0:00:00,47,47,0:00:00,82,85,0:00:00,6,10,0:00:00,85,100,434:14:10,56,75,0:00:00,25,25,0:00:00,100,100,0:00:00,37,50,0:00:00,3,10,0:00:00,94,100,0:00:00,73,87,0:00:00,702:40:17,18,25,434:14:10,61,75,0:00:00,67,75,0:00:00,8,10,0:00:00,9,10,0:00:00,8,10,0:00:00,8,10,0:00:00,8,10,0:00:00,9,10,0:00:00,8,10,0:00:00,9,10,434:14:10,9,10,0:00:00,9,10,0:00:00
A14545267,RE,JR,93,100,0:00:00,98,100,0:00:00,61,85,0:00:00,76,100,0:00:00,15,15,0:00:00,100,100,45:17:14,52,70,0:00:00,8,10,0:00:00,42,47,0:00:00,76,85,0:00:00,10,10,0:00:00,92,100,0:00:00,65,75,0:00:00,20,25,0:00:00,88,100,0:00:00,32,50,0:01:22,5,10,0:00:00,85,100,0:00:00,61,87,0:00:00,63:28:47,18,25,0:00:00,55,75,0:00:00,61,75,0:00:00,9,10,63:28:47,9,10,0:00:00,9,10,0:00:00,9,10,63:28:47,7,10,63:28:47,8,10,0:00:00,8,10,0:00:00,8,10,0:01:22,8,10,0:00:00,8,10,0:00:00
A14459831,WA,JR,97,100,0:00:00,,100,0:00:00,66,85,0:00:00,89,100,0:00:00,8,15,0:00:00,90,100,40:11:35,70,70,0:00:00,2,10,0:00:00,41,47,0:00:00,82,85,431:45:54,10,10,0:00:00,82,100,0:00:00,70,75,0:00:00,16,25,0:00:00,83,100,217:18:53,50,50,0:00:00,2,10,0:00:00,100,100,0:00:00,87,87,0:00:00,689:16:53,20,25,0:00:00,62,75,0:00:00,68,75,0:00:00,9,10,0:00:00,10,10,40:11:35,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,10,10,0:00:00,9,10,689:16:53,9,10,0:00:00
A14883274,RE,JR,81,100,0:00:00,59,100,0:00:00,59,85,0:00:00,81,100,0:00:00,15,15,0:00:00,91,100,0:00:00,70,70,0:00:00,10,10,0:00:00,47,47,0:00:00,76,85,645:24:50,7,10,0:00:00,84,100,0:00:00,68,75,0:00:00,25,25,0:00:00,85,100,0:00:00,38,50,0:00:00,0,10,0:00:00,85,100,0:00:00,68,87,0:00:00,669:12:21,16,25,0:00:00,55,75,669:12:21,61,75,0:00:00,8,10,0:00:00,8,10,0:00:00,8,10,0:00:00,9,10,0:00:00,8,10,0:00:00,8,10,0:00:00,8,10,669:12:21,9,10,0:00:00,8,10,669:12:21,9,10,0:00:00
A14169808,WA,JR,87,100,0:00:00,60,100,0:00:00,72,85,0:00:00,96,100,0:00:00,6,15,0:00:00,100,100,42:36:43,,70,0:00:00,,10,0:00:00,46,47,0:00:00,77,85,0:00:00,,10,0:00:00,82,100,0:00:00,75,75,0:00:00,22,25,0:00:00,64,100,0:00:00,34,50,0:00:00,5,10,0:00:00,96,100,0:00:00,67,87,0:00:00,63:51:33,20,25,0:00:00,67,75,0:00:00,73,75,0:00:00,10,10,0:00:00,9,10,0:00:00,9,10,63:51:33,10,10,42:36:43,10,10,63:51:33,10,10,0:00:00,10,10,63:51:33,10,10,0:00:00,10,10,0:00:00,10,10,63:51:33
A14024001,FI,SR,86,100,0:00:00,80,100,0:00:00,81,85,0:00:00,100,100,0:00:00,8,15,0:00:00,0,100,39:32:29,28,70,0:01:19,10,10,0:04:59,37,47,0:00:00,45,85,0:00:00,10,10,0:00:00,80,100,0:01:44,69,75,0:00:00,18,25,0:00:00,65,100,0:02:18,32,50,0:02:35,0,10,0:00:00,100,100,0:00:00,69,87,0:00:00,53:03:32,22,25,0:04:59,74,75,39:32:29,75,75,0:04:59,10,10,0:04:59,10,10,0:00:00,10,10,0:01:44,10,10,0:00:00,10,10,0:00:00,10,10,0:02:18,10,10,0:04:59,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00
A14490387,TH,JR,90,100,47:26:10,100,100,0:00:00,70,85,0:00:00,92,100,0:00:00,15,15,0:00:00,78,100,12:08:58,70,70,0:00:00,10,10,0:00:00,40,47,0:00:00,56,85,431:48:42,5,10,0:00:00,80,100,0:00:00,69,75,0:00:00,23,25,0:00:00,89,100,0:00:00,48,50,0:00:13,4,10,0:00:00,94,100,0:00:00,87,87,0:00:00,491:24:29,21,25,0:00:13,66,75,0:00:13,72,75,0:00:00,9,10,0:00:00,9,10,0:00:13,9,10,0:00:00,9,10,0:00:00,10,10,0:00:00,9,10,0:00:13,9,10,431:48:42,9,10,0:00:00,10,10,0:00:00,10,10,491:24:29
A14600543,WA,SR,99,100,0:00:00,93,100,0:00:00,83,85,0:00:00,88,100,385:35:30,15,15,0:00:00,98,100,0:00:00,68,70,288:51:34,10,10,0:00:00,47,47,0:00:00,78,85,313:07:17,10,10,0:00:00,100,100,0:00:00,73,75,0:00:00,25,25,0:00:00,93,100,0:00:00,47,50,0:00:00,3,10,0:00:00,99,100,0:00:00,75,87,0:00:00,987:54:39,25,25,385:35:30,75,75,0:00:00,75,75,0:00:00,10,10,385:35:30,10,10,0:00:00,10,10,288:51:34,10,10,313:07:17,10,10,288:51:34,10,10,288:51:34,10,10,987:54:39,10,10,0:00:00,10,10,987:54:39,10,10,288:51:34
A14187677,FI,SR,92,100,0:00:00,93,100,0:00:00,72,85,0:00:00,87,100,0:00:00,15,15,0:00:00,98,100,47:15:32,63,70,0:00:00,9,10,0:00:00,30,47,0:00:00,80,85,0:00:00,,10,0:00:00,87,100,0:00:00,70,75,0:00:00,23,25,0:00:00,92,100,0:00:00,41,50,0:00:00,0,10,0:00:00,100,100,0:00:00,68,87,0:00:00,81:55:40,20,25,0:00:00,64,75,0:00:00,70,75,0:00:00,10,10,0:00:00,10,10,0:00:00,9,10,0:00:00,10,10,0:00:00,9,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,9,10,0:00:00,9,10,0:00:00
A14472397,WA,JR,82,100,0:00:00,74,100,0:00:00,55,85,0:00:00,83,100,0:00:00,8,15,0:00:00,61,100,48:00:29,70,70,0:00:00,5,10,0:00:00,23,47,0:00:00,73,85,0:00:00,8,10,0:00:00,65,100,0:00:00,65,75,0:00:00,19,25,0:00:00,78,100,0:00:00,25,50,0:00:00,0,10,0:00:00,81,100,0:00:00,48,87,0:00:00,48:00:29,17,25,48:00:29,50,75,0:00:00,56,75,0:00:00,7,10,0:00:00,8,10,0:00:00,7,10,0:00:00,8,10,0:00:00,8,10,48:00:29,8,10,0:00:00,8,10,0:00:00,8,10,48:00:29,8,10,0:00:00,8,10,48:00:29
A14755997,SI,JR,72,100,0:00:00,,100,0:00:00,75,85,0:00:00,71,100,267:15:40,15,15,0:00:00,95,100,38:23:00,69,70,0:00:00,7,10,0:00:00,40,47,0:00:00,76,85,504:45:26,10,10,0:00:00,100,100,0:00:00,73,75,0:00:00,25,25,0:00:00,90,100,0:00:00,49,50,0:00:00,0,10,0:00:00,93,100,0:00:00,82,87,0:00:00,810:24:06,21,25,0:00:00,66,75,0:00:00,72,75,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,38:23:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00
A14600543,TH,SR,100,100,0:00:00,84,100,0:00:00,78,85,0:00:00,96,100,385:35:30,15,15,0:00:00,84,100,0:00:00,68,70,288:51:34,10,10,0:00:00,47,47,0:00:00,84,85,313:07:17,10,10,0:00:00,92,100,0:00:00,72,75,0:00:00,25,25,0:00:00,87,100,0:00:00,47,50,0:00:00,0,10,0:00:00,96,100,0:00:00,83,87,0:00:00,987:54:39,22,25,313:07:17,74,75,0:00:00,75,75,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,288:51:34,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00
A14369624,FI,JR,94,100,0:00:00,91,100,0:00:00,85,85,0:00:00,100,100,0:00:00,13,15,0:00:00,91,100,4:09:52,61,70,0:00:00,10,10,0:00:00,47,47,0:00:00,83,85,0:00:00,7,10,0:00:00,85,100,0:00:00,58,75,0:00:00,23,25,0:00:00,95,100,0:00:00,50,50,0:00:00,3,10,0:00:00,96,100,0:00:00,85,87,0:00:00,4:09:52,25,25,0:00:00,75,75,0:00:00,75,75,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00
A14024001,WA,SR,94,100,0:00:00,86,100,0:00:00,81,85,0:00:00,93,100,0:00:00,11,15,0:00:00,0,100,39:32:29,35,70,0:01:19,10,10,0:04:59,32,47,0:00:00,49,85,0:00:00,10,10,0:00:00,93,100,0:01:44,64,75,0:00:00,25,25,0:00:00,71,100,0:02:18,28,50,0:02:35,0,10,0:00:00,99,100,0:00:00,70,87,0:00:00,53:03:32,23,25,53:03:32,75,75,0:00:00,75,75,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:01:19,10,10,0:00:00,10,10,0:00:00,10,10,53:03:32,10,10,0:00:00,10,10,0:00:00,10,10,0:01:19,10,10,0:01:19
A14484746,SI,SR,87,100,0:00:00,78,100,0:00:00,72,85,0:00:00,75,100,0:00:00,15,15,0:00:00,58,100,46:39:38,70,70,0:00:00,8,10,0:00:00,19,47,0:00:00,65,85,0:00:00,7,10,0:00:00,85,100,0:00:00,66,75,0:00:00,25,25,0:00:00,71,100,0:00:00,48,50,0:00:00,9,10,0:00:00,79,100,0:00:00,52,87,0:00:00,46:39:38,22,25,0:00:00,63,75,0:00:00,69,75,0:00:00,9,10,0:00:00,10,10,0:00:00,9,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,46:39:38,10,10,0:00:00,9,10,0:00:00,10,10,0:00:00
A14521581,TH,JR,96,100,0:00:00,86,100,0:00:00,83,85,0:00:00,93,100,0:00:00,6,15,0:00:00,93,100,0:00:00,66,70,384:50:21,6,10,0:00:00,32,47,0:00:00,84,85,0:00:00,10,10,0:00:00,92,100,0:00:00,69,75,0:00:00,22,25,0:00:00,78,100,0:00:00,50,50,0:00:00,0,10,0:00:00,89,100,0:00:00,73,87,0:00:00,384:50:21,25,25,0:00:00,75,75,0:00:00,75,75,384:50:21,10,10,0:00:00,10,10,384:50:21,10,10,0:00:00,10,10,384:50:21,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00
A14162943,WA,JR,63,100,0:00:00,39,100,0:00:00,44,85,0:00:00,76,100,0:00:00,15,15,0:00:00,70,100,47:42:33,52,70,0:00:00,9,10,0:00:00,25,47,0:00:00,69,85,0:00:00,10,10,0:00:00,56,100,0:00:00,73,75,0:00:00,25,25,0:00:00,42,100,0:00:00,50,50,0:00:00,10,10,0:00:00,81,100,0:00:00,73,87,0:00:00,93:16:10,13,25,0:00:00,44,75,93:16:10,50,75,93:16:10,6,10,0:00:00,7,10,0:00:00,6,10,0:00:00,6,10,93:16:10,6,10,0:00:00,6,10,0:00:00,6,10,0:00:00,6,10,0:00:00,7,10,93:16:10,6,10,0:00:00
A14341510,WA,JR,67,100,50:28:37,74,100,0:00:00,79,85,0:00:00,100,100,0:00:00,15,15,0:00:00,79,100,45:20:15,55,70,0:00:00,0,10,0:00:00,32,47,0:00:00,64,85,286:27:42,0,10,0:00:00,79,100,0:00:00,73,75,0:00:00,20,25,0:00:00,92,100,0:00:00,32,50,0:00:00,0,10,0:00:00,92,100,0:00:00,67,87,0:00:00,932:40:59,22,25,0:00:00,70,75,286:27:42,75,75,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,932:40:59,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00
A14874081,FI,JR,98,100,0:00:00,69,100,0:00:00,54,85,0:00:00,96,100,0:00:00,8,15,0:00:00,35,100,35:24:07,64,70,0:00:00,9,10,0:00:00,35,47,0:00:00,62,85,0:00:00,,10,0:00:00,78,100,0:00:00,75,75,0:00:00,23,25,0:00:00,92,100,0:00:00,44,50,0:00:00,0,10,0:00:00,61,100,0:00:00,61,87,0:00:00,35:24:07,15,25,0:00:00,53,75,0:00:00,59,75,0:00:00,7,10,0:00:00,7,10,0:00:00,8,10,0:00:00,7,10,0:00:00,8,10,0:00:00,7,10,0:00:00,8,10,0:00:00,7,10,0:00:00,7,10,0:00:00,7,10,0:00:00
A14322486,RE,SR,100,100,0:00:00,70,100,0:00:00,67,85,0:00:00,78,100,0:00:00,15,15,0:00:00,93,100,46:48:38,42,70,0:00:00,9,10,0:00:00,45,47,0:00:00,74,85,0:00:00,10,10,0:00:00,91,100,0:00:00,69,75,0:00:00,18,25,0:00:00,,100,0:00:00,43,50,0:00:00,6,10,0:00:00,76,100,0:00:00,72,87,0:00:00,46:51:36,18,25,0:00:00,63,75,0:00:00,69,75,46:48:38,9,10,0:00:00,10,10,46:48:38,10,10,0:00:00,9,10,0:00:00,10,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,46:48:38,8,10,0:00:00,9,10,0:00:00
A14088257,RE,SO,84,100,0:00:00,77,100,0:00:00,71,85,0:00:00,78,100,0:00:00,11,15,0:00:00,66,100,47:03:14,70,70,0:00:00,2,10,0:00:00,21,47,0:00:00,62,85,0:00:00,2,10,0:00:00,83,100,0:00:00,69,75,0:00:00,25,25,0:00:00,83,100,0:00:00,22,50,0:00:00,0,10,0:00:00,74,100,0:00:00,52,87,0:00:00,47:03:14,20,25,0:00:00,66,75,0:00:00,72,75,0:00:00,9,10,0:00:00,10,10,0:00:00,10,10,0:00:00,9,10,0:00:00,9,10,0:00:00,10,10,0:00:00,10,10,0:00:00,9,10,0:00:00,10,10,0:00:00,10,10,0:00:00
A14313679,TH,SR,76,100,0:00:00,95,100,0:00:00,61,85,0:00:00,81,100,268:26:07,15,15,0:00:00,100,100,0:00:00,67,70,0:00:00,10,10,0:00:00,47,47,0:00:00,68,85,0:00:00,10,10,0:00:00,86,100,434:14:10,73,75,0:00:00,19,25,0:00:00,88,100,0:00:00,50,50,0:00:00,10,10,0:00:00,92,100,0:00:00,64,87,0:00:00,702:40:17,16,25,0:00:00,59,75,0:00:00,65,75,0:00:00,8,10,0:00:00,8,10,0:00:00,9,10,0:00:00,8,10,0:00:00,8,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,702:40:17,8,10,0:00:00,8,10,0:00:00
A14088257,FI,SO,84,100,0:00:00,78,100,0:00:00,70,85,0:00:00,69,100,0:00:00,2,15,0:00:00,74,100,47:03:14,70,70,0:00:00,4,10,0:00:00,23,47,0:00:00,53,85,0:00:00,10,10,0:00:00,81,100,0:00:00,74,75,0:00:00,21,25,0:00:00,76,100,0:00:00,14,50,0:00:00,0,10,0:00:00,78,100,0:00:00,54,87,0:00:00,47:03:14,20,25,0:00:00,61,75,0:00:00,67,75,0:00:00,9,10,47:03:14,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,9,10,0:00:00,10,10,0:00:00,9,10,0:00:00
A14429482,SI,JR,80,100,0:00:00,73,100,0:00:00,69,85,0:00:00,89,100,0:00:00,12,15,0:00:00,88,100,0:00:00,62,70,0:00:00,2,10,0:00:00,46,47,0:00:00,60,85,0:00:00,10,10,0:00:00,74,100,0:00:00,75,75,0:00:00,25,25,0:00:00,84,100,0:00:00,36,50,0:00:00,3,10,0:00:00,79,100,0:00:00,64,87,0:00:00,22:31:06,19,25,0:00:00,64,75,0:00:00,70,75,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,10,10,0:00:00,10,10,0:00:00,9,10,0:00:00
A14164800,WA,SR,87,100,0:00:00,31,100,0:00:00,48,85,0:00:00,36,100,0:00:00,15,15,0:00:00,74,100,0:00:00,66,70,0:00:00,10,10,0:00:00,38,47,0:00:00,70,85,764:40:45,10,10,0:00:00,78,100,0:04:51,66,75,0:00:00,21,25,0:00:00,73,100,0:00:00,35,50,0:00:00,0,10,0:00:00,89,100,0:00:00,67,87,0:00:00,828:47:53,15,25,0:00:00,50,75,0:00:00,56,75,0:00:00,6,10,0:00:00,7,10,0:00:00,7,10,0:00:00,7,10,0:00:00,7,10,0:00:00,7,10,0:00:00,7,10,0:00:00,8,10,0:00:00,7,10,0:00:00,7,10,0:00:00
A14735005,WA,JR,90,100,0:00:00,96,100,0:00:00,79,85,0:00:00,100,100,0:00:00,15,15,0:00:00,95,100,0:00:00,65,70,270:22:55,10,10,0:00:00,47,47,0:00:00,80,85,0:00:00,2,10,0:00:00,83,100,0:00:00,67,75,0:00:00,25,25,0:00:00,97,100,182:37:20,42,50,0:00:00,0,10,0:00:00,100,100,0:00:00,77,87,0:00:00,453:00:15,22,25,0:00:00,75,75,0:00:00,75,75,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,182:37:20,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00
A14957013,WA,SO,96,100,0:00:00,98,100,0:00:00,75,85,0:00:00,87,100,0:00:00,13,15,0:00:00,82,100,41:48:02,69,70,0:00:00,10,10,0:00:00,40,47,0:00:00,70,85,504:33:08,10,10,0:00:00,87,100,0:00:00,73,75,0:00:00,25,25,0:00:00,86,100,0:00:00,50,50,0:00:00,0,10,0:00:00,97,100,0:00:00,78,87,0:00:00,546:21:10,22,25,0:00:00,67,75,0:00:00,73,75,0:00:00,10,10,0:00:00,10,10,41:48:02,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,41:48:02,9,10,0:00:00
A14847309,FI,SR,90,100,0:00:00,84,100,0:00:00,81,85,0:00:00,96,100,0:00:00,12,15,0:00:00,90,100,40:18:06,70,70,0:00:00,10,10,0:00:00,28,47,0:00:00,85,85,556:32:58,10,10,0:00:00,82,100,0:00:00,75,75,0:00:00,17,25,0:00:00,89,100,212:23:22,45,50,0:00:00,0,10,0:00:00,100,100,0:00:00,79,87,0:00:00,1091:22:58,23,25,0:00:00,75,75,0:00:00,75,75,0:00:00,10,10,0:00:00,10,10,556:32:58,10,10,556:32:58,10,10,556:32:58,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,556:32:58,10,10,0:00:00,10,10,0:00:00
